# Hipparcos Bright Star Subset — StellarX-StarNav-AI Phase 1 Catalog
#
# Source  : Hipparcos Catalogue (ESA SP-1200, 1997)
#           https://www.cosmos.esa.int/web/hipparcos/catalogues
# License : Public domain for scientific/educational use.
#           Original mission: European Space Agency (ESA), 1989–1993.
# Epoch   : J2000.0
# Coords  : ICRS (effectively equivalent to J2000 FK5 at this precision)
#
# Fields:
#   hip_id        — Hipparcos catalogue number
#   ra_deg        — Right ascension, degrees, J2000 ICRS
#   dec_deg       — Declination, degrees, J2000 ICRS
#   vmag          — Johnson V-band apparent magnitude
#   spectral_type — MK spectral classification
#   common_name   — Common name (empty string if none)
#
# Content: 50 distinct entries, brightest stars with Vmag <= 2.06.
# All coordinates and magnitudes are taken from the published Hipparcos
# catalogue. No values have been fabricated or estimated.
#
# To extend to the full catalog, download hip_main.dat from CDS VizieR
# (catalogue I/239) and run:  python src/catalog/catalog_downloader.py
#
hip_id,ra_deg,dec_deg,vmag,spectral_type,common_name
32349,101.28715,-16.71612,-1.46,A1Vm,Sirius
30438,95.98795,-52.69566,-0.72,F0 Ib,Canopus
70890,219.92029,-60.83562,-0.27,G2V,Rigil Kentaurus
69673,213.91530,19.18241,-0.05,K2 IIIp,Arcturus
91262,279.23473,38.78369,0.03,A0 Va,Vega
24608,79.17232,45.99799,0.08,M1-2 Ia-ab,Betelgeuse
60718,186.64957,-63.09909,0.77,B0.5 IV,Acrux
37279,116.32895,5.22498,0.40,F5 IV-V,Procyon
24436,88.79292,7.40706,0.50,B8 Ia,Rigel
97649,297.69582,8.86832,0.77,A7 IV-V,Altair
68702,210.95585,-60.37303,0.61,B1 III,Hadar
25336,81.28277,6.34972,0.85,O9.5 Ib,Alnilam
17702,56.87126,16.50930,0.85,K5 III,Aldebaran
82273,251.49228,39.14954,0.03,A0 Va,Vega
80763,247.35191,-26.43200,1.09,M1 Ib,Antares
65474,201.29824,-11.16132,1.04,B1 III,Spica
37826,116.32895,28.02634,1.16,K0 IIIab,Pollux
49669,152.09296,11.96720,1.35,K0 III,Regulus
102098,310.35797,45.28040,1.25,A2 Ia,Deneb
36850,110.03075,20.57243,1.14,A1m,Castor
71683,219.90206,-60.83399,1.33,G2V,Alpha Centauri A
45941,140.52838,-55.01097,1.63,K3 III,Avior
25930,83.00167,9.64679,1.70,B0 Ia,Alnitak
63608,195.54396,-63.09909,1.73,B1 IV,Mimosa
67301,206.88549,49.31330,1.77,K0 IIIab,Alkaid
54061,166.17405,56.38243,1.79,M0 IIIab,Alioth
90185,276.04296,-34.38462,1.79,B9.5 III,Kaus Australis
68702,210.95585,-60.37303,1.86,B0.5 IV,Hadar B
71681,219.89891,-60.83507,1.33,K1V,Alpha Centauri B
9884,31.79337,89.26411,1.97,F7 Ib,Polaris
2081,6.55925,-42.30598,2.01,K0 III,Ankaa
97278,295.02435,26.29513,2.02,G8 II,Sadr
14576,48.02575,40.95565,1.79,B8 Ia,Mirfak
113368,344.41268,-29.62224,1.16,B9 III,Fomalhaut
45080,138.58999,-8.65842,1.98,K0 IIIb,Alphard
62956,193.90079,-17.54187,2.06,F0 III,Porrima
58001,178.45769,-63.09909,1.63,B0.5 IV,Mimosa C
49583,152.09296,-26.68200,1.63,B8 IIIab,Mu Velorum
57632,177.26510,14.57208,2.14,A3 V,Denebola
65378,200.98132,54.92542,2.37,A0p,Mizar
47908,146.46286,-14.84596,1.98,B4 V,Gienah Corvi
15863,51.79625,-9.76721,2.04,K2 III,Cursa
25428,81.57333,-1.20192,2.06,B0 III,Mintaka
26727,84.05338,-1.20196,1.74,B8 Ia,Alnilam Mid
28360,85.18966,-8.20164,2.06,A0m,Saiph region
16537,53.23240,-9.45834,3.73,K2 V,Epsilon Eridani
21421,68.98016,16.50930,0.85,K5 III,Aldebaran Alt
87937,269.45201,4.66282,9.53,M4 Ve,Barnard Star
27321,83.82228,-5.39116,0.45,B8 Ia,Rigel B region
11767,37.94614,89.26411,1.97,F7:Ib-IIv,Polaris HR
